time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-07-14T12:23:48.500Z,41.4,22.68,5,3.2,md,16,128.1,,,us,usp000enkj,2014-11-07T01:29:38.770Z,Macedonia,earthquake,,,,,reviewed,sof,ath
2006-07-14T12:22:57.800Z,41.34,22.61,10,3,md,17,127.3,,,us,usp000enkh,2014-11-07T01:29:38.767Z,Macedonia,earthquake,,,,,reviewed,sof,ath
2006-07-08T01:15:48.160Z,41.901,23.306,2.2,2.9,md,22,83.9,,,us,usp000en3w,2014-11-07T01:29:36.524Z,Bulgaria,earthquake,,,,,reviewed,the,sof
2006-06-27T04:40:10.280Z,43.179,22.609,5,2.7,md,9,179.2,,1.52,us,usp000emch,2014-11-07T01:29:29.118Z,Serbia,earthquake,,,,,reviewed,us,sof
2006-06-24T19:44:51.200Z,41.72,24.36,11,3.2,md,9,85,,,us,usp000em5x,2014-11-07T01:29:27.035Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
2006-06-21T08:30:15.600Z,41.47,23.69,3,3.2,ml,5,229.8,,,us,usp000ekxh,2014-11-07T01:29:25.906Z,Bulgaria,earthquake,,,,,reviewed,sof,csem
2006-06-18T07:31:07.200Z,41.488,23.702,11.4,3.1,md,8,119.5,,0.86,us,usp000ekpz,2014-11-07T01:29:24.132Z,Bulgaria,earthquake,,10,,,reviewed,us,ath
2006-05-19T03:29:07.400Z,41.707,25.473,10,2.5,md,6,169.3,,1.06,us,usp000ehf8,2014-11-07T01:29:08.486Z,Bulgaria,earthquake,,,,,reviewed,us,sof
2006-05-14T17:10:07.380Z,41.729,25.538,10,2.7,md,15,108.9,,1.26,us,usp000eh49,2014-11-07T01:29:07.039Z,Bulgaria,earthquake,,,,,reviewed,us,sof
2006-05-14T08:35:18.800Z,42.87,23.03,6,2.7,md,12,162.5,,,us,usp000eh32,2014-11-07T01:29:06.906Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-05-14T05:07:57.600Z,41.89,25.64,7,3.4,md,28,112.5,,,us,usp000eh2k,2014-11-07T01:29:06.694Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-05-10T20:01:05.900Z,42.44,26.15,17,2.9,md,32,97.8,,,us,usp000egt3,2014-11-07T01:29:05.380Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-05-10T09:31:06.150Z,42.508,26.193,10.2,3.4,ml,35,47.5,,,us,usp000egrw,2014-11-07T01:29:05.266Z,Bulgaria,earthquake,,,,,reviewed,the,csem
2006-05-10T07:29:54.900Z,43.021,22.796,2,4.1,ml,71,31.4,,,us,usp000egrq,2014-11-07T01:29:05.244Z,Serbia,earthquake,,,,,reviewed,csem,the
2006-05-07T17:57:05.960Z,41.495,22.9,1,2.7,ml,8,156.6,,,us,usp000egh8,2014-11-07T01:29:04.198Z,Macedonia,earthquake,,,,,reviewed,the,the
2006-05-06T04:09:47.600Z,41.59,25.38,25,3.6,md,14,119.7,,,us,usp000egcy,2014-11-07T01:29:03.561Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-05-05T19:44:35.100Z,41.96,23.18,8,3.2,md,8,144.1,,,us,usp000egcd,2014-11-07T01:29:03.454Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-05-03T19:40:34.570Z,41.93,23.101,4.2,2.9,ml,9,158.2,,,us,usp000eg6e,2014-11-07T01:29:02.220Z,Bulgaria,earthquake,,,,,reviewed,the,the
2006-04-29T00:28:03.900Z,41.68,25.46,15,2.7,md,18,104,,,us,usp000efqv,2014-11-07T01:28:55.934Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-04-29T00:26:34.950Z,41.667,25.617,15,2.5,md,11,221.9,,,us,usp000efqu,2014-11-07T01:28:55.933Z,Bulgaria,earthquake,,,,,reviewed,the,sof
2006-04-27T12:38:14.400Z,42.57,23.37,2,3,md,15,83.4,,,us,usp000efmb,2014-11-07T01:28:55.506Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-04-06T04:09:48.430Z,41.67,25.613,17.7,3.3,ml,8,115.1,,,us,usp000edtf,2014-11-07T01:28:43.820Z,Bulgaria,earthquake,,,,,reviewed,the,the
2006-04-06T00:24:35.200Z,42.16,25.24,20,3.2,md,19,136,,,us,usp000edsy,2014-11-07T01:28:43.711Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
2006-03-28T01:51:33.500Z,41.35,25.04,43,3.3,md,5,207.9,,,us,usp000ed3m,2014-11-07T01:28:36.278Z,Greece-Bulgaria border region,earthquake,,,,,reviewed,ath,ath
2006-03-19T18:30:32.400Z,41.64,25.47,5,3.5,md,4,268.3,,,us,usp000ecgf,2014-11-07T01:28:33.441Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-03-17T00:56:13.800Z,42.7,23.5,11,3,md,9,181.3,,,us,usp000ecag,2014-11-07T01:28:32.215Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-03-17T00:45:11.660Z,43.976,26.594,58.1,3.1,md,8,179.5,,,us,usp000ecaf,2014-11-07T01:28:32.213Z,Bulgaria,earthquake,,,,,reviewed,irsa,irsa
2006-03-14T08:39:06.600Z,41.52,25.32,25,3.7,md,12,119.6,,,us,usp000ec4w,2014-11-07T01:28:31.588Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-03-14T08:26:06.900Z,41.61,25.36,5,3.5,md,5,265.8,,,us,usp000ec4u,2014-11-07T01:28:31.584Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-03-14T08:06:52.600Z,41.33,25.22,16,3.8,md,23,83,,,us,usp000ec4s,2014-11-07T01:28:31.578Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-03-08T23:55:04.250Z,41.507,24.061,4,3,md,8,218.6,,,us,usp000ebpy,2014-11-07T01:28:29.641Z,Bulgaria,earthquake,,,,,reviewed,the,ath
2006-03-07T14:24:59.100Z,41.7,25.48,10,2.6,md,10,176.9,,,us,usp000ebm5,2014-11-07T01:28:29.265Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-02-28T17:00:40.360Z,41.927,23.12,1.6,3.2,ml,6,151.2,,,us,usp000eb1v,2014-11-07T01:28:22.928Z,Bulgaria,earthquake,,,,,reviewed,the,the
2006-02-27T06:35:31.400Z,41.48,24.97,2,3.1,md,10,99,,,us,usp000eaz6,2014-11-07T01:28:22.610Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
2006-02-24T23:40:00.500Z,41.85,22.95,19,2.6,md,12,166,,,us,usp000eat0,2014-11-07T01:28:21.719Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
2006-02-24T21:26:35.260Z,41.918,22.953,10.4,2.8,md,14,148.8,,,us,usp000easn,2014-11-07T01:28:21.687Z,Bulgaria,earthquake,,,,,reviewed,the,sof
2006-02-24T13:34:59.600Z,41.69,25.49,17,3.4,md,21,120,,,us,usp000ears,2014-11-07T01:28:21.560Z,Bulgaria,earthquake,,,,,reviewed,sof,ath
2006-02-24T10:36:41.700Z,41.64,25.41,25,3.3,md,16,118.1,,,us,usp000earh,2014-11-07T01:28:21.536Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-02-23T22:01:28.100Z,41.62,25.37,5,3.5,md,24,95.2,,,us,usp000eaq9,2014-11-07T01:28:21.415Z,Bulgaria,earthquake,,,,,reviewed,ath,ath
2006-02-23T18:22:07.200Z,42.66,24.73,12,3,md,8,131.3,,,us,usp000eapw,2014-11-07T01:28:21.339Z,Bulgaria,earthquake,,,,,reviewed,sof,sof
